AcademicYear	AggregateLevel	CountyCode	DistrictCode	SchoolCode	CountyName	DistrictName	SchoolName	Charter	ReportingCategory	CumulativeEnrollment
2022-23	C	12			Humboldt			All	SS	11757
2022-23	C	12			Humboldt			All	TA	18081
2022-23	C	12			Humboldt			No 	GF	7581
2022-23	C	12			Humboldt			No 	GM	8067
2022-23	C	12			Humboldt			No 	GX	46
2022-23	C	12			Humboldt			No 	RA	534
2022-23	C	12			Humboldt			No 	RB	169
2022-23	C	12			Humboldt			No 	RD	143
2022-23	C	12			Humboldt			No 	RF	36
2022-23	C	12			Humboldt			No 	RH	3383
2022-23	C	12			Humboldt			No 	RI	1573
2022-23	C	12			Humboldt			No 	RP	83
2022-23	C	12			Humboldt			No 	RT	1517
2022-23	C	12			Humboldt			No 	RW	8256
2022-23	C	12			Humboldt			No 	SD	2998
2022-23	C	12			Humboldt			No 	SE	1332
2022-23	C	12			Humboldt			No 	SF	345
2022-23	C	12			Humboldt			No 	SH	1179
2022-23	C	12			Humboldt			No 	SM	*
2022-23	C	12			Humboldt			No 	SS	10357
2022-23	C	12			Humboldt			No 	TA	15694
2022-23	C	12			Humboldt			Yes	GF	1339
